record_id,journal_id,posting_date,posting_datetime,entry_date,entry_type,entered_by,debit_account,credit_account,amount,debit_amount,credit_amount,description,period_close_date,reverses_journal_id
R0159,JE-4159,2025-11-10,2025-11-10T16:35:00,2025-11-15,auto,ahmed.r,GL-4246,GL-9454,658.72,658.72,658.72,monthly accrual,2025-10-31,
R0160,JE-4160,2025-11-30,2025-11-30T08:45:00,2025-11-30,manual,fatima.a,GL-4242,GL-2363,84009.76,84009.76,84009.76,monthly accrual,2025-10-31,
R0161,JE-4161,2025-09-18,2025-09-18T13:09:00,2025-09-18,auto,priya.s,GL-2503,GL-6917,717.96,717.96,717.96,,2025-10-31,
R0162,JE-4162,2025-10-05,2025-10-05T10:45:00,2025-10-05,manual,ahmed.r,GL-9903,GL-9948,4174.62,4174.62,4174.62,monthly accrual,2025-10-31,
R0163,JE-4163,2025-11-11,2025-11-11T10:06:00,2025-11-11,auto,fatima.a,GL-6483,GL-3386,166.94,166.94,166.94,monthly accrual,2025-10-31,
R0164,JE-4164,2025-09-16,2025-09-16T13:37:00,2025-09-16,manual,ahmed.r,GL-6949,GL-3717,185765.08,185765.08,185730.51,monthly accrual,2025-10-31,
R0165,JE-4165,2025-09-24,2025-09-24T15:27:00,2025-09-24,auto,sarah.k,GL-7609,GL-3950,12346.3,12346.3,12346.3,monthly accrual,2025-10-31,
R0166,JE-4166,2025-11-24,2025-11-24T14:03:00,2025-11-24,auto,maria.s,GL-1267,GL-3597,304.7,304.7,304.7,monthly accrual,2025-10-31,
R0167,JE-4167,2025-09-26,2025-09-26T16:07:00,2025-09-26,manual,john.c,GL-2937,GL-7647,2767.07,2767.07,2767.07,monthly accrual,2025-10-31,
R0168,JE-4168,2025-09-27,2025-09-27T11:55:00,2025-09-27,manual,maria.s,GL-6441,GL-1876,1502.62,1502.62,1502.62,monthly accrual,2025-10-31,
R0169,JE-4169,2025-11-22,2025-11-22T10:02:00,2025-11-22,auto,john.c,GL-9151,GL-2679,55452.23,55452.23,55452.23,monthly accrual,2025-10-31,
R0170,JE-4170,2025-10-31,2025-10-31T17:12:00,2025-10-31,auto,john.c,GL-5613,GL-8959,1618.3,1618.3,1618.3,monthly accrual,2025-10-31,
R0171,JE-4171,2025-10-30,2025-10-30T23:15:00,2025-10-30,auto,john.c,GL-8109,GL-2922,85870.79,85870.79,85870.79,monthly accrual,2025-10-31,
R0172,JE-4172,2025-11-12,2025-11-12T13:36:00,2025-11-12,auto,maria.s,GL-9530,GL-8081,251.88,251.88,251.88,monthly accrual,2025-10-31,
R0173,JE-4173,2025-10-24,2025-10-24T08:41:00,2025-10-24,manual,priya.s,GL-8097,GL-7168,146215.65,146215.65,146215.65,monthly accrual,2025-10-31,
R0174,JE-4174,2025-11-16,2025-11-16T17:38:00,2025-11-16,auto,sarah.k,GL-5003,GL-3038,1338.71,1338.71,1338.71,monthly accrual,2025-10-31,JE-4173
R0175,JE-4175,2025-10-28,2025-10-28T08:13:00,2025-10-28,auto,john.c,GL-2726,GL-9621,705.04,705.04,705.04,monthly accrual,2025-10-31,
R0176,JE-4176,2025-10-01,2025-10-01T11:07:00,2025-10-01,auto,sarah.k,GL-7041,GL-9948,8080.38,8080.38,8080.38,monthly accrual,2025-10-31,
R0177,JE-4177,2025-10-24,2025-10-24T18:12:00,2025-10-24,manual,fatima.a,GL-7907,GL-3009,9416.0,9416.0,9416.0,monthly accrual,2025-10-31,
R0178,JE-4178,2025-09-10,2025-09-10T09:39:00,2025-09-10,auto,maria.s,GL-8424,GL-1009,221.29,221.29,221.29,monthly accrual,2025-10-31,
R0179,JE-4179,2025-10-08,2025-10-08T13:58:00,2025-10-08,manual,ahmed.r,GL-2026,GL-8221,714.1,714.1,714.1,monthly accrual,2025-10-31,
R0180,JE-4180,2025-10-28,2025-10-28T13:07:00,2025-10-28,manual,fatima.a,GL-4781,GL-1751,71459.84,71459.84,71459.84,monthly accrual,2025-10-31,
R0181,JE-4181,2025-10-10,2025-10-10T12:48:00,2025-10-10,auto,priya.s,GL-9166,GL-3346,128.52,128.52,128.52,monthly accrual,2025-10-31,
R0182,JE-4182,2025-10-31,2025-10-31T08:24:00,2025-10-31,manual,ahmed.r,GL-6175,GL-6802,119002.13,119002.13,119002.13,monthly accrual,2025-10-31,
R0183,JE-4183,2025-10-31,2025-10-31T16:44:00,2025-10-31,auto,ahmed.r,GL-9734,GL-4870,113.8,113.8,113.8,monthly accrual,2025-10-31,
R0184,JE-4184,2025-09-25,2025-09-25T18:18:00,2025-09-25,auto,sarah.k,GL-6014,GL-6127,210431.54,210431.54,210431.54,,2025-10-31,
R0185,JE-4185,2025-10-06,2025-10-06T10:11:00,2025-10-06,auto,priya.s,GL-8293,GL-7802,110548.39,110548.39,110548.39,monthly accrual,2025-10-31,
R0186,JE-4186,2025-09-11,2025-09-11T09:25:00,2025-09-11,auto,fatima.a,GL-4218,GL-5406,391.63,391.63,391.63,test plug adjustment,2025-10-31,
R0187,JE-4187,2025-09-24,2025-09-24T12:41:00,2025-09-24,auto,priya.s,GL-7103,GL-9591,33151.66,33151.66,33151.66,monthly accrual,2025-10-31,
R0188,JE-4188,2025-11-05,2025-11-05T12:07:00,2025-11-05,manual,ahmed.r,GL-4701,GL-5535,11605.17,11605.17,11605.17,monthly accrual,2025-10-31,
R0189,JE-4189,2025-09-20,2025-09-20T09:28:00,2025-09-20,manual,john.c,GL-9655,GL-2209,17368.23,17368.23,17368.23,monthly accrual,2025-10-31,
R0190,JE-4190,2025-11-07,2025-11-07T23:05:00,2025-11-07,manual,maria.s,GL-5661,GL-9802,149928.54,149928.54,149928.54,monthly accrual,2025-10-31,
R0191,JE-4191,2025-10-03,2025-10-03T10:01:00,2025-10-03,auto,priya.s,GL-4105,GL-5028,3034.36,3034.36,3034.36,monthly accrual,2025-10-31,
R0192,JE-4192,2025-09-23,2025-09-23T10:57:00,2025-09-23,auto,ahmed.r,GL-1550,GL-8563,948.11,948.11,948.11,monthly accrual,2025-10-31,
R0193,JE-4193,2025-11-14,2025-11-14T15:09:00,2025-11-14,auto,sarah.k,GL-3947,GL-2049,2220.68,2220.68,2220.68,monthly accrual,2025-10-31,
R0194,JE-4194,2025-11-11,2025-11-11T13:42:00,2025-11-11,auto,fatima.a,GL-8921,GL-1523,52322.26,52322.26,52322.26,monthly accrual,2025-10-31,
R0195,JE-4195,2025-11-06,2025-11-06T18:25:00,2025-11-06,auto,fatima.a,GL-9528,GL-9711,1047.28,1047.28,1047.28,monthly accrual,2025-10-31,
R0196,JE-4196,2025-09-23,2025-09-23T09:46:00,2025-09-23,auto,maria.s,GL-8136,GL-4855,11982.72,11982.72,11982.72,monthly accrual,2025-10-31,
R0197,JE-4197,2025-11-25,2025-11-25T11:02:00,2025-11-25,auto,priya.s,GL-9013,GL-9915,3479.5,3479.5,3479.5,monthly accrual,2025-10-31,
R0198,JE-4198,2025-09-29,2025-09-29T12:51:00,2025-09-29,auto,sarah.k,GL-4317,GL-1860,96431.66,96431.66,96431.66,monthly accrual,2025-10-31,
R0199,JE-4199,2025-11-13,2025-11-13T13:11:00,2025-11-13,auto,ahmed.r,GL-1291,GL-9128,3709.61,3709.61,3709.61,monthly accrual,2025-10-31,
R0200,JE-4200,2025-10-26,2025-10-26T08:31:00,2025-10-26,auto,sarah.k,GL-2872,GL-3919,5794.26,5794.26,5794.26,monthly accrual,2025-10-31,
R0201,JE-4201,2025-11-12,2025-11-12T11:51:00,2025-11-12,auto,maria.s,GL-3395,GL-1884,17359.04,17359.04,17359.04,monthly accrual,2025-10-31,
R0202,JE-4202,2025-10-10,2025-10-10T17:58:00,2025-10-10,auto,fatima.a,GL-9609,GL-5337,3081.48,3081.48,3081.48,monthly accrual,2025-10-31,
R0203,JE-4203,2025-11-15,2025-11-15T16:29:00,2025-11-15,auto,ahmed.r,GL-7207,GL-5175,5548.91,5548.91,5548.91,monthly accrual,2025-10-31,JE-4202
R0204,JE-4204,2025-10-02,2025-10-02T17:32:00,2025-10-02,auto,john.c,GL-2001,GL-6174,362.52,362.52,362.52,monthly accrual,2025-10-31,
R0205,JE-4205,2025-10-23,2025-10-23T08:57:00,2025-10-23,auto,ahmed.r,GL-9020,GL-3204,4304.84,4304.84,4269.36,monthly accrual,2025-10-31,
R0206,JE-4206,2025-09-19,2025-09-19T08:12:00,2025-09-19,auto,sarah.k,GL-4942,GL-7715,40375.07,40375.07,40375.07,monthly accrual,2025-10-31,
R0207,JE-4207,2025-11-07,2025-11-07T12:10:00,2025-11-07,manual,john.c,GL-7954,GL-2253,312.91,312.91,312.91,,2025-10-31,
R0208,JE-4208,2025-09-05,2025-09-05T17:35:00,2025-09-05,auto,ahmed.r,GL-5844,GL-5148,23960.12,23960.12,23960.12,monthly accrual,2025-10-31,
R0209,JE-4209,2025-09-16,2025-09-16T23:49:00,2025-09-16,manual,john.c,GL-2409,GL-4723,8542.87,8542.87,8542.87,monthly accrual,2025-10-31,
R0210,JE-4210,2025-10-18,2025-10-18T17:47:00,2025-10-18,auto,ahmed.r,GL-1650,GL-3628,1204.49,1204.49,1204.49,monthly accrual,2025-10-31,
R0211,JE-4211,2025-10-22,2025-10-22T13:56:00,2025-10-22,auto,maria.s,GL-3904,GL-8579,11176.36,11176.36,11176.36,monthly accrual,2025-10-31,
R0212,JE-4212,2025-10-21,2025-10-21T14:33:00,2025-10-26,manual,sarah.k,GL-4528,GL-7856,187945.69,187945.69,187945.69,monthly accrual,2025-10-31,
R0213,JE-4213,2025-10-15,2025-10-15T10:51:00,2025-10-15,auto,john.c,GL-4336,GL-7557,728.98,728.98,728.98,monthly accrual,2025-10-31,
R0214,JE-4214,2025-09-28,2025-09-28T15:38:00,2025-09-28,auto,john.c,GL-9031,GL-3975,11984.09,11984.09,11984.09,monthly accrual,2025-10-31,
R0215,JE-4215,2025-11-02,2025-11-02T09:50:00,2025-11-02,manual,sarah.k,GL-5530,GL-6944,520.05,520.05,520.05,monthly accrual,2025-10-31,
R0216,JE-4216,2025-10-06,2025-10-06T12:23:00,2025-10-06,auto,maria.s,GL-7438,GL-4564,14907.07,14907.07,14907.07,monthly accrual,2025-10-31,
R0217,JE-4217,2025-10-05,2025-10-05T13:44:00,2025-10-05,manual,ahmed.r,GL-4946,GL-2953,230.11,230.11,230.11,test plug adjustment,2025-10-31,
R0218,JE-4218,2025-09-03,2025-09-03T15:22:00,2025-09-03,auto,sarah.k,GL-7248,GL-6328,311139.34,311139.34,311139.34,monthly accrual,2025-10-31,
R0219,JE-4219,2025-10-03,2025-10-03T08:40:00,2025-10-03,auto,priya.s,GL-7454,GL-4904,49830.8,49830.8,49830.8,monthly accrual,2025-10-31,
R0220,JE-4220,2025-11-02,2025-11-02T17:02:00,2025-11-02,manual,ahmed.r,GL-1520,GL-4416,138.96,138.96,138.96,monthly accrual,2025-10-31,
R0221,JE-4221,2025-10-10,2025-10-10T10:23:00,2025-10-10,auto,maria.s,GL-9980,GL-5266,2737.74,2737.74,2737.74,monthly accrual,2025-10-31,
R0222,JE-4222,2025-10-11,2025-10-11T10:47:00,2025-10-11,auto,ahmed.r,GL-5593,GL-9765,34608.38,34608.38,34608.38,monthly accrual,2025-10-31,
R0223,JE-4223,2025-10-28,2025-10-28T13:45:00,2025-10-28,manual,ahmed.r,GL-2681,GL-5785,2621.71,2621.71,2621.71,monthly accrual,2025-10-31,
R0224,JE-4224,2025-10-18,2025-10-18T08:04:00,2025-10-18,manual,sarah.k,GL-8910,GL-1186,1611.94,1611.94,1611.94,monthly accrual,2025-10-31,
R0225,JE-4225,2025-10-09,2025-10-09T11:54:00,2025-10-09,manual,maria.s,GL-6789,GL-3000,20486.57,20486.57,20486.57,monthly accrual,2025-10-31,
R0226,JE-4226,2025-10-18,2025-10-18T09:06:00,2025-10-18,auto,john.c,GL-2962,GL-7429,662.37,662.37,662.37,monthly accrual,2025-10-31,
R0227,JE-4227,2025-11-03,2025-11-03T13:18:00,2025-11-03,manual,priya.s,GL-9144,GL-5584,162.32,162.32,162.32,monthly accrual,2025-10-31,
R0228,JE-4228,2025-09-29,2025-09-29T23:26:00,2025-09-29,manual,john.c,GL-3731,GL-6746,358.99,358.99,358.99,monthly accrual,2025-10-31,
R0229,JE-4229,2025-11-25,2025-11-25T13:27:00,2025-11-25,auto,john.c,GL-3470,GL-8836,31123.18,31123.18,31123.18,monthly accrual,2025-10-31,
R0230,JE-4230,2025-11-14,2025-11-14T12:18:00,2025-11-14,auto,fatima.a,GL-1377,GL-7412,793.44,793.44,793.44,,2025-10-31,
R0231,JE-4231,2025-09-20,2025-09-20T14:19:00,2025-09-20,manual,priya.s,GL-1894,GL-7179,1883.77,1883.77,1883.77,monthly accrual,2025-10-31,
R0232,JE-4232,2025-11-03,2025-11-03T13:26:00,2025-11-03,manual,priya.s,GL-2184,GL-1385,91999.43,91999.43,91999.43,monthly accrual,2025-10-31,JE-4231
R0233,JE-4233,2025-09-05,2025-09-05T17:45:00,2025-09-05,auto,priya.s,GL-5290,GL-4047,1639.85,1639.85,1639.85,monthly accrual,2025-10-31,
R0234,JE-4234,2025-11-22,2025-11-22T13:23:00,2025-11-22,auto,sarah.k,GL-4547,GL-2237,4388.97,4388.97,4388.97,monthly accrual,2025-10-31,
R0235,JE-4235,2025-11-05,2025-11-05T17:35:00,2025-11-05,auto,john.c,GL-2042,GL-5524,146.85,146.85,146.85,monthly accrual,2025-10-31,
R0236,JE-4236,2025-09-09,2025-09-09T14:49:00,2025-09-09,auto,john.c,GL-1624,GL-3225,80097.21,80097.21,80097.21,monthly accrual,2025-10-31,
R0237,JE-4237,2025-11-27,2025-11-27T13:26:00,2025-11-27,manual,john.c,GL-1345,GL-3455,5953.46,5953.46,5953.46,monthly accrual,2025-10-31,
R0238,JE-4238,2025-11-17,2025-11-17T18:29:00,2025-11-17,manual,ahmed.r,GL-4842,GL-9529,471.62,471.62,471.62,monthly accrual,2025-10-31,
R0239,JE-4239,2025-09-01,2025-09-01T08:46:00,2025-09-01,auto,ahmed.r,GL-9962,GL-9087,174851.23,174851.23,174851.23,monthly accrual,2025-10-31,
R0240,JE-4240,2025-11-23,2025-11-23T16:44:00,2025-11-23,manual,fatima.a,GL-6464,GL-5326,47698.26,47698.26,47698.26,monthly accrual,2025-10-31,
R0241,JE-4241,2025-10-15,2025-10-15T11:00:00,2025-10-15,manual,fatima.a,GL-7491,GL-3562,231.01,231.01,231.01,monthly accrual,2025-10-31,
R0242,JE-4242,2025-09-25,2025-09-25T17:29:00,2025-09-25,manual,fatima.a,GL-9038,GL-5811,76800.18,76800.18,76800.18,monthly accrual,2025-10-31,
R0243,JE-4243,2025-10-18,2025-10-18T18:47:00,2025-10-18,manual,maria.s,GL-9165,GL-4883,2830.07,2830.07,2830.07,monthly accrual,2025-10-31,
R0244,JE-4244,2025-11-22,2025-11-22T10:07:00,2025-11-22,manual,maria.s,GL-3064,GL-2036,745.69,745.69,745.69,monthly accrual,2025-10-31,
R0245,JE-4245,2025-09-09,2025-09-09T12:58:00,2025-09-09,auto,sarah.k,GL-8398,GL-9394,72848.28,72848.28,72848.28,monthly accrual,2025-10-31,
R0246,JE-4246,2025-11-26,2025-11-26T15:40:00,2025-11-26,manual,sarah.k,GL-6646,GL-5159,4813.32,4813.32,4769.87,monthly accrual,2025-10-31,
R0247,JE-4247,2025-10-21,2025-10-21T23:44:00,2025-10-21,auto,john.c,GL-5144,GL-5125,5971.38,5971.38,5971.38,monthly accrual,2025-10-31,
R0248,JE-4248,2025-10-18,2025-10-18T13:26:00,2025-10-18,manual,ahmed.r,GL-3119,GL-7891,31991.95,31991.95,31991.95,test plug adjustment,2025-10-31,
R0249,JE-4249,2025-11-22,2025-11-22T12:57:00,2025-11-22,auto,ahmed.r,GL-3051,GL-4290,29801.48,29801.48,29801.48,monthly accrual,2025-10-31,
